season,player_name,pts,ts_pct,usg_pct
1996-97,Michael Jordan,29.6,0.567,0.331
1997-98,Michael Jordan,28.7,0.533,0.336
1998-99,Allen Iverson,26.8,0.508,0.323
1999-00,Shaquille O'Neal,29.7,0.578,0.313
2000-01,Allen Iverson,31.1,0.518,0.354
2001-02,Allen Iverson,31.4,0.489,0.371
2002-03,Tracy McGrady,32.1,0.564,0.35
2003-04,Tracy McGrady,28,0.526,0.33
2004-05,Allen Iverson,30.7,0.532,0.347
2005-06,Kobe Bryant,35.4,0.559,0.384
2006-07,Kobe Bryant,31.6,0.58,0.333
2007-08,LeBron James,30,0.568,0.333
2008-09,Dwyane Wade,30.2,0.574,0.356
2009-10,Kevin Durant,30.1,0.607,0.317
2010-11,Kevin Durant,27.7,0.589,0.302
2011-12,Kevin Durant,28,0.61,0.308
2012-13,Carmelo Anthony,28.7,0.56,0.353
2013-14,Kevin Durant,32,0.635,0.327
2014-15,Russell Westbrook,28.1,0.536,0.372
2015-16,Stephen Curry,30.1,0.669,0.32
2016-17,Russell Westbrook,31.6,0.554,0.408
2017-18,James Harden,30.4,0.619,0.353
2018-19,James Harden,36.1,0.616,0.396
2019-20,James Harden,34.3,0.626,0.356
2020-21,Stephen Curry,32,0.655,0.331
2021-22,Joel Embiid,30.6,0.616,0.375
2022-23,Joel Embiid,33.1,0.655,0.37