decade,team_abbreviation,top10_appearances
1990s,UTA,4
1990s,LAL,4
1990s,PHI,4
1990s,SAC,3
1990s,DET,3
1990s,CHI,2
1990s,CHH,2
1990s,DEN,2
1990s,VAN,2
1990s,NJN,2
1990s,SAS,2
1990s,SEA,2
1990s,GSW,1
1990s,HOU,1
1990s,NYK,1
1990s,MIL,1
1990s,BOS,1
1990s,WAS,1
1990s,TOR,1
1990s,MIN,1
2000s,LAL,13
2000s,DEN,7
2000s,DAL,7
2000s,SAC,6
2000s,CLE,6
2000s,PHI,6
2000s,BOS,5
2000s,MIA,5
2000s,TOR,4
2000s,ORL,4
2000s,NJN,4
2000s,WAS,4
2000s,SEA,4
2000s,IND,4
2000s,SAS,3
2000s,MIN,3
2000s,PHX,3
2000s,MIL,3
2000s,OKC,2
2000s,GSW,2
2000s,NOH,2
2000s,HOU,1
2000s,ATL,1
2000s,DET,1
2010s,OKC,13
2010s,GSW,10
2010s,HOU,10
2010s,POR,8
2010s,MIA,7
2010s,NOP,7
2010s,NYK,6
2010s,LAL,5
2010s,CLE,5
2010s,TOR,4
2010s,PHX,3
2010s,SAC,3
2010s,DAL,3
2010s,MIL,3
2010s,LAC,2
2010s,CHI,2
2010s,MIN,2
2010s,IND,1
2010s,BOS,1
2010s,SAS,1
2010s,PHI,1
2010s,WAS,1
2010s,ATL,1
2010s,BKN,1
2020s,BKN,4
2020s,PHI,3
2020s,MIL,3
2020s,DAL,3
2020s,GSW,2
2020s,POR,2
2020s,CHI,2
2020s,LAL,2
2020s,WAS,1
2020s,NOP,1
2020s,ATL,1
2020s,MEM,1
2020s,DEN,1
2020s,OKC,1
2020s,BOS,1
2020s,PHX,1
2020s,CLE,1